Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters
04/01/1996 12:00:00 AM,14,18438,57357,,,
04/01/1997 12:00:00 AM,1,21501,54887,,,
04/01/1997 12:00:00 AM,2,25978,74337,,,
04/01/1997 12:00:00 AM,3,22148,64673,,,
04/01/1997 12:00:00 AM,4,22124,47286,,,
04/01/1997 12:00:00 AM,5,20245,66719,,,
04/01/1997 12:00:00 AM,6,23329,54630,,,
04/01/1997 12:00:00 AM,7,27994,51924,,,
04/01/1997 12:00:00 AM,8,27128,44325,,,
04/01/1997 12:00:00 AM,9,20289,53671,,,
04/01/1997 12:00:00 AM,10,18727,57115,,,
04/01/1997 12:00:00 AM,11,21212,47177,,,
04/01/1997 12:00:00 AM,12,22030,57227,,,
04/01/1997 12:00:00 AM,13,19627,55100,,,
04/01/1997 12:00:00 AM,14,19796,61355,,,
04/01/1998 12:00:00 AM,1,25826,65795,,,
04/01/1998 12:00:00 AM,2,24559,72305,,,
04/01/1998 12:00:00 AM,3,23385,67905,,,
04/01/1998 12:00:00 AM,4,22114,47607,,,
04/01/1998 12:00:00 AM,5,20544,69009,,,
04/01/1998 12:00:00 AM,6,24349,57361,,,
04/01/1998 12:00:00 AM,7,28237,52001,,,
04/01/1998 12:00:00 AM,8,27134,45396,,,
04/01/1998 12:00:00 AM,9,20513,54705,,,
04/01/1998 12:00:00 AM,10,18871,58382,,,
04/01/1998 12:00:00 AM,11,21221,47046,,,
04/01/1998 12:00:00 AM,12,22629,59555,,,
04/01/1998 12:00:00 AM,13,19772,56073,,,
04/01/1998 12:00:00 AM,14,21753,66194,,,
04/01/1999 12:00:00 AM,1,26966,68399,,,
04/01/1999 12:00:00 AM,2,25884,76813,,,
04/01/1999 12:00:00 AM,3,25765,73511,,,
04/01/1999 12:00:00 AM,4,22243,47364,,,
04/01/1999 12:00:00 AM,5,21070,70456,,,
04/01/1999 12:00:00 AM,6,25167,59042,,,
04/01/1999 12:00:00 AM,7,28571,51911,,,
04/01/1999 12:00:00 AM,8,27275,45755,,,
04/01/1999 12:00:00 AM,9,20754,55180,,,
04/01/1999 12:00:00 AM,10,19024,58198,,,
04/01/1999 12:00:00 AM,11,21617,47756,,,
04/01/1999 12:00:00 AM,12,23064,60210,,,
04/01/1999 12:00:00 AM,13,19991,55868,,,
04/01/1999 12:00:00 AM,14,23768,71925,,,
04/01/2000 12:00:00 AM,1,28185,70996,,,
04/01/2000 12:00:00 AM,2,26899,79916,,,
04/01/2000 12:00:00 AM,3,27378,77450,,,
04/01/2000 12:00:00 AM,4,22604,47605,,,
04/01/2000 12:00:00 AM,5,21386,71363,,,
04/01/2000 12:00:00 AM,6,26009,61176,,,
04/01/2000 12:00:00 AM,7,28926,52769,,,
04/01/2000 12:00:00 AM,8,27656,45428,,,
04/01/2000 12:00:00 AM,9,20939,55250,,,
04/01/2000 12:00:00 AM,10,19436,58197,,,
04/01/2000 12:00:00 AM,11,22225,48284,,,
04/01/2000 12:00:00 AM,12,23059,60016,,,
04/01/2000 12:00:00 AM,13,19926,55676,,,
04/01/2000 12:00:00 AM,14,25629,76623,,,
04/01/2001 12:00:00 AM,1,25805,65193,,,
04/01/2001 12:00:00 AM,2,22903,67583,,,
04/01/2001 12:00:00 AM,3,23570,68093,,,
04/01/2001 12:00:00 AM,4,28328,72419,,,
04/01/2001 12:00:00 AM,5,18439,61398,,,
04/01/2001 12:00:00 AM,6,24885,59350,,,
04/01/2001 12:00:00 AM,7,29948,59150,,,
04/01/2001 12:00:00 AM,8,38709,62920,,,
04/01/2001 12:00:00 AM,9,23994,55389,,,
04/01/2001 12:00:00 AM,10,19747,58432,,,
04/01/2001 12:00:00 AM,11,27794,64563,,,
04/01/2001 12:00:00 AM,12,24482,65371,,,
04/01/2001 12:00:00 AM,13,22011,60589,,,
04/01/2001 12:00:00 AM,14,18287,56069,,,
04/01/2002 12:00:00 AM,1,27328,69092,,,
04/01/2002 12:00:00 AM,2,24102,70954,,,
04/01/2002 12:00:00 AM,3,26101,75068,,,
04/01/2002 12:00:00 AM,4,28456,72285,,,
04/01/2002 12:00:00 AM,5,18763,62164,,,
04/01/2002 12:00:00 AM,6,26148,62912,,,
04/01/2002 12:00:00 AM,7,30300,60731,,,
04/01/2002 12:00:00 AM,8,38885,63846,,,
04/01/2002 12:00:00 AM,9,24246,55837,,,
04/01/2002 12:00:00 AM,10,19873,58424,,,
04/01/2002 12:00:00 AM,11,28353,64652,,,
04/01/2002 12:00:00 AM,12,25606,67836,,,
04/01/2002 12:00:00 AM,13,23196,64329,,,
04/01/2002 12:00:00 AM,14,18772,56857,,,
04/01/2003 12:00:00 AM,1,28997,72300,,,
04/01/2003 12:00:00 AM,2,25022,73402,,,
04/01/2003 12:00:00 AM,3,28849,81501,,,
